demvotes,incumbent_party,repvotes,year,total_votes,incumbent_party_share,avg_recent_growth,dem_candidate,rep_candidate,winner,incumbent_victory
24179347,democrat,21991292,1948,46170639,0.5236953077474193,2.9450625903069763,Harry S. Truman,Thomas E. Dewey,Harry S. Truman,True
27375090,democrat,34075529,1952,61450619,0.44548111061338536,3.491052195140708,Adlai Stevenson,Dwight D. Eisenhower,Dwight D. Eisenhower,False
26028028,republican,35579180,1956,61607208,0.5775165139767412,2.8186976204559873,Adlai Stevenson,Dwight D. Eisenhower,Dwight D. Eisenhower,True
34220984,republican,34108157,1960,68329141,0.499174385932936,0.1267987786619665,John F. Kennedy,Richard Nixon,John F. Kennedy,False
43129040,democrat,27175754,1964,70304794,0.6134580239293497,4.3916193885376895,Lyndon B. Johnson,Barry Goldwater,Lyndon B. Johnson,True
31271839,democrat,31783783,1968,63055622,0.4959405364362277,2.969403357288317,Hubert Humphrey,Richard Nixon,Richard Nixon,False
29173222,republican,47168710,1972,76341932,0.6178610989305326,5.89859468527068,George McGovern,Richard Nixon,Richard Nixon,True
40831881,republican,39148634,1976,79980515,0.4894771432767093,1.609964158319328,Jimmy Carter,Gerald Ford,Jimmy Carter,False
35480115,democrat,43903230,1980,79383345,0.44694658558416756,1.1233699180392802,Jimmy Carter,Ronald Reagan,Ronald Reagan,False
37577352,republican,54455472,1984,92032824,0.5916961974349499,4.003463040993753,Walter Mondale,Ronald Reagan,Ronald Reagan,True
41809485,republican,48886588,1988,90696073,0.5390154874732007,3.0640943443802025,Michael Dukakis,George H. W. Bush,George H. W. Bush,True
44909806,republican,39104550,1992,84014356,0.4654508093831011,1.308752746774495,Bill Clinton,George H. W. Bush,Bill Clinton,False
47400125,democrat,39198755,1996,86598880,0.5473526331980275,1.6839058196763597,Bill Clinton,Bob Dole,Bill Clinton,True
51009810,democrat,50462412,2000,101472222,0.5026972800497066,3.1676309980003787,Al Gore,George W. Bush,George W. Bush,False
59027115,republican,62039572,2004,121066687,0.5124413126131055,2.336780625335154,John Kerry,George W. Bush,George W. Bush,True
69499428,republican,59950323,2008,129449751,0.46311655709557914,0.683987120846427,Barack Obama,John McCain,Barack Obama,False
65918507,democrat,60934407,2012,126852914,0.5196451931723066,2.591643881708483,Barack Obama,Mitt Romney,Barack Obama,True
65853652,democrat,62985134,2016,128838786,0.51113219896375,1.4276856010795633,Hilary Clinton,Donald Trump,Donald Trump,False
81283501,republican,74223975,2020,155507476,0.4773016507579353,1.8141864262267786,Joe Biden,Donald Trump,Joe Biden,False
